Stocks				
start				
new				
trading				
year				
with				
rally				
Market				
indexes				
surge				
after				
Home	B	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	The_Home_Depot
Depot	I	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	The_Home_Depot
chief				
executive				
quits				
.				
				
NEW	B	NEW_YORK	http://en.wikipedia.org/wiki/New_York_City	New_York_City
YORK	I	NEW_YORK	http://en.wikipedia.org/wiki/New_York_City	New_York_City
-				
Stocks				
moved				
soundly				
higher				
in				
the				
first				
session				
of				
2007				
as				
investors				
cheered				
mostly				
solid				
readings				
on				
the				
economy				
and				
found				
reason				
for				
increased				
prospects				
for				
big				
-				
name				
retailers				
Home	B	Home_Depot_Inc	http://en.wikipedia.org/wiki/Home_Depot	
Depot	I	Home_Depot_Inc	http://en.wikipedia.org/wiki/Home_Depot	
Inc	I	Home_Depot_Inc	http://en.wikipedia.org/wiki/Home_Depot	
.				
and				
Wal	B	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	Walmart
-	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	
Mart	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	
Stores	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	
Inc	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	
.	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	
				
A				
decline				
in				
oil				
prices				
added				
to				
the				
strong				
sentiment				
that				
at				
times				
drove				
the				
Dow	B	Dow_Jones	http://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average	Dow_Jones_Industrial_Average
Jones	I	Dow_Jones	http://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average	Dow_Jones_Industrial_Average
industrials				
to				
a				
new				
trading				
high				
.				
				
Stocks				
,				
which				
had				
surged				
from				
the				
start				
on				
word				
that				
Home	B	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	The_Home_Depot
