DOCSTART	sentence-62
Mario	B	Mario_Capecchi	http://en.wikipedia.org/wiki/Mario_capecchi
Capecchi	I	Mario_Capecchi	http://en.wikipedia.org/wiki/Mario_capecchi
was	O
born	O
in	O
the	O
city	O
of	O
Verona	B	Verona	http://en.wikipedia.org/wiki/Verona
as	O
the	O
only	O
child	O
of	O
Luciano	B	Luciano_Capecchi	http://en.wikipedia.org/wiki/Luciano_capecchi
Capecchi	I	Luciano_Capecchi	http://en.wikipedia.org/wiki/Luciano_capecchi
,	O
an	O
airman	B	airman	http://en.wikipedia.org/wiki/Airman
,	O
and	O
Lucy	B	Lucy_Ramberg	http://en.wikipedia.org/wiki/Lucy_ramberg
Ramberg	I	Lucy_Ramberg	http://en.wikipedia.org/wiki/Lucy_ramberg
,	O
an	O
American	B	American-born	http://en.wikipedia.org/wiki/American-born
-	I	American-born	http://en.wikipedia.org/wiki/American-born
born	I	American-born	http://en.wikipedia.org/wiki/American-born
daughter	B	daughter	http://en.wikipedia.org/wiki/Daughter
of	O
Impressionist	B	Impressionist_painter	http://en.wikipedia.org/wiki/Impressionist_painter
painter	I	Impressionist_painter	http://en.wikipedia.org/wiki/Impressionist_painter
Lucy	B	Lucy_Dodd_Ramberg	http://en.wikipedia.org/wiki/Lucy_dodd_ramberg
Dodd	I	Lucy_Dodd_Ramberg	http://en.wikipedia.org/wiki/Lucy_dodd_ramberg
Ramberg	I	Lucy_Dodd_Ramberg	http://en.wikipedia.org/wiki/Lucy_dodd_ramberg
and	O
German	B	German	http://en.wikipedia.org/wiki/German
archaeologist	B	archaeologist	http://en.wikipedia.org/wiki/Archaeologist
Walter	B	Walter_Ramberg	http://en.wikipedia.org/wiki/Walter_ramberg
Ramberg	I	Walter_Ramberg	http://en.wikipedia.org/wiki/Walter_ramberg
.	O

DOCSTART	sentence-56
John	B	John	http://en.wikipedia.org/wiki/John
started	O
with	O
high	O
expectations	O
and	O
enthusiasm	O
to	O
study	O
chemistry	O
at	O
the	O
famous	O
Swiss	B	Swiss_Federal_Institute_of_Technology	http://en.wikipedia.org/wiki/Swiss_federal_institute_of_technology
Federal	I	Swiss_Federal_Institute_of_Technology	http://en.wikipedia.org/wiki/Swiss_federal_institute_of_technology
Institute	I	Swiss_Federal_Institute_of_Technology	http://en.wikipedia.org/wiki/Swiss_federal_institute_of_technology
of	I	Swiss_Federal_Institute_of_Technology	http://en.wikipedia.org/wiki/Swiss_federal_institute_of_technology
Technology	I	Swiss_Federal_Institute_of_Technology	http://en.wikipedia.org/wiki/Swiss_federal_institute_of_technology
in	O
Zurich	B	Zurich	http://en.wikipedia.org/wiki/Zurich
.	O

DOCSTART	sentence-54
Mandela	B	Mandela	http://en.wikipedia.org/wiki/Mandela
served	O
27	O
years	O
in	O
prison	O
,	O
initially	O
on	O
Robben	B	Robben_Island	http://en.wikipedia.org/wiki/Robben_island
Island	I	Robben_Island	http://en.wikipedia.org/wiki/Robben_island
,	O
and	O
later	O
in	O
Pollsmoor	B	Pollsmoor_Prison	http://en.wikipedia.org/wiki/Pollsmoor_prison
Prison	I	Pollsmoor_Prison	http://en.wikipedia.org/wiki/Pollsmoor_prison
and	O
Victor	B	Victor_Verster_Prison	http://en.wikipedia.org/wiki/Victor_verster_prison
Verster	I	Victor_Verster_Prison	http://en.wikipedia.org/wiki/Victor_verster_prison
Prison	I	Victor_Verster_Prison	http://en.wikipedia.org/wiki/Victor_verster_prison
.	O

DOCSTART	sentence-82
In	O
2001	O
he	B	he	http://en.wikipedia.org/wiki/He
became	O
a	O
professor	B	professor	http://en.wikipedia.org/wiki/Professor
of	O
physics	O
at	O
the	O
University	B	University_of_Manchester	http://en.wikipedia.org/wiki/University_of_manchester
of	I	University_of_Manchester	http://en.wikipedia.org/wiki/University_of_manchester
Manchester	I	University_of_Manchester	http://en.wikipedia.org/wiki/University_of_manchester
,	O
and	O
was	O
appointed	O
