Bandar	B	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Seri	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Begawan	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
11-15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	United_States
today				
Wednesday				
deemed				
the				
order				
issued				
by				
Palestinian				State_of_Palestine
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
for				
a				
ceasefire				
in				
territories				
under				
Palestinian				Palestinian_National_Authority
Authority				Palestinian_National_Authority
control				
as				
a				
positive				
gesture				
but				
considered				
that				
it				
does				
not				
release				
constitute				
a				
release				
form				
the				
terms				
of				
the				
Sharm				Sharm_el-Sheikh
el-Sheikh				Sharm_el-Sheikh
agreement				
.				
James				James_Stewart
Stewart				James_Stewart
,				
the				
White	B	White_House	http://en.wikipedia.org/wiki/White_House	White_House
House	I	White_House	http://en.wikipedia.org/wiki/White_House	White_House
's				
spokesman				
in				
Bandar				Bandar_Seri_Begawan
Seri				Bandar_Seri_Begawan
Begawan				Bandar_Seri_Begawan
,				
the				
capital				
of				
the				
Sultanate				Sultan
of				
Brunei				Brunei
which				
American				United_States
President				
Bill				Bill_Clinton
Clinton				Bill_Clinton
is				
visiting				
,				
said				
``				
of				
course				
we				
positively				
welcome				
the				
announcement				
aimed				
at				
stopping				
the				
violence				
.				
But				
the				
important				
point				
is				
that				
Palestinian				State_of_Palestine
and				
Israeli				Israel
officials				
take				
the				
right				
steps				
to				
provide				
a				
safer				
climate				
in				
the				
whole				
region				
.				
''				
Clinton				Bill_Clinton
is				
to				
take				
part				
in				
the				
Asia-Pacific				Asia-Pacific_Economic_Cooperation
Economic				Asia-Pacific_Economic_Cooperation
Cooperation				Asia-Pacific_Economic_Cooperation
forum				Asia-Pacific_Economic_Cooperation
(				
APEC				Asia-Pacific_Economic_Cooperation
)				
in				
Brunei				Brunei
.				
The				
American				United_States
spokesman				
said				
President				
Bill				Bill_Clinton
Clinton				Bill_Clinton
spoke				
to				
Arafat				Yasser_Arafat
on				
the				
telephone				
after				
arriving				
in				
Brunei				Brunei
yesterday				
evening				
Tuesday				
.				
He				
said				
``				
their				
conversation				
focused				
on				
ways				
to				
stop				
the				
violence				
because				
we				
believe				
that				
it				
is				
extremely				
important				
for				
the				
sides				
to				
take				
immediate				
measures				
to				
end				
the				
tension				
and				
reduce				
the				
violence				
.				
''				
A				
high-level				
Palestinian				State_of_Palestine
source				
said				
today				
that				
the				
Palestinian	B	Palestinian_Superior_Security_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	
Superior	I	Palestinian_Superior_Security_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	
Security	I	Palestinian_Superior_Security_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	
Council	I	Palestinian_Superior_Security_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	
led				
by				
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
issued				
orders				
to				
stop				
shooting				
inside				
area				
``				
A				
''				
under				
Palestinian				State_of_Palestine
control				
.				
The				
source				
who				
wished				
to				
remain				
anonymous				
said				
that				
``				
the				
Palestinian				
Superior				
Security				
Council				
led				
by				
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
issued				
orders				
to				
stop				
unknown				
armed				
persons				
from				
shooting				
inside				
zone				
``				
A				
''				
under				
complete				
Palestinian				State_of_Palestine
control				
and				
from				
between				
buildings				
and				
civilians				
in				
the				
Palestinian				Palestinian_territories
Territories				Palestinian_territories
.				
''				
Zone				
``				
A				
''				
covers				
areas				
controlled				
completely				
by				
the				
Palestinian				Palestinian_National_Authority
Authority				Palestinian_National_Authority
in				
the				
West				Palestinian_territories
Bank				Palestinian_territories
and				
Gaza				Gaza_Strip
Strip				Gaza_Strip
.				
				
DOCEND				
				
Documented				
.				
From				
NPR	B	NPR_news	http://en.wikipedia.org/wiki/NPR	NPR
news	I	NPR_news	http://en.wikipedia.org/wiki/NPR	
in				
Washington	B	Washington	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
,				
I				
'm				
Corey				Corey_Flintoff
Flintoff				Corey_Flintoff
.				
A				
Florida				Florida_State_University
State				Florida_State_University
judge				
has				
ordered				
local				
election				
officials				
to				
ship				
thousands				
of				
ballots				
to				
the				
state				
capital				
.				
The				
move				
comes				
as				
the				
judge				
decides				
whether				
to				
order				
a				
recount				
of				
those				
ballots				
in				
the				
presidential				
election				
.				
NPR				NPR
's				
Steve				
Inski				
was				
in				
the				
courtroom				
.				
Steve				Steve_(disambiguation)
,				
what				
are				
the				
issues				
that				
came				
up				
in				
this				
hearing				
tonight				
?				
Corey				Corey_Flintoff
judge				
N.				
Sander				
Sauls				
is				
deciding				
whether				
to				
order				
a				
recount				
as				
you				
said				
of				
those				
ballots				
,				
9000				
or				
more				
actually				
from				
Miami	B	Miami_Dade_County	http://en.wikipedia.org/wiki/Miami-Dade_County,_Florida	Miami-Dade_County,_Florida
Dade	I	Miami_Dade_County	http://en.wikipedia.org/wiki/Miami-Dade_County,_Florida	Miami-Dade_County,_Florida
County	I	Miami_Dade_County	http://en.wikipedia.org/wiki/Miami-Dade_County,_Florida	Miami-Dade_County,_Florida
that				
apparently				
were				
never				
counted				
at				
all				
,				
at				
least				
according				
to				
the				
Democrats	B	Democrats	http://en.wikipedia.org/wiki/Democratic_Party_(United_States)	Democratic_Party_(United_States)
in				
the				
presidential				
election				
and				
about				
3300				
ballots				
from				
Palm	B	Palm_Beach_County	http://en.wikipedia.org/wiki/Palm_Beach_County,_Florida	Palm_Beach_County,_Florida
Beach	I	Palm_Beach_County	http://en.wikipedia.org/wiki/Palm_Beach_County,_Florida	Palm_Beach_County,_Florida
County	I	Palm_Beach_County	http://en.wikipedia.org/wiki/Palm_Beach_County,_Florida	Palm_Beach_County,_Florida
that				
were				
considered				
by				
local				
officials				
but				
then				
thrown				
out				
,				
disallowed				
.				
Judge				
Sauls				John_I._Sauls
is				
deciding				
whether				
to				
count				
those				
ballots				
and				
go				
through				
them				
and				
perhaps				
add				
some				
votes				
to				
Al	B	Al_Gore	http://en.wikipedia.org/wiki/Al_Gore	Al_Gore
Gore	I	Al_Gore	http://en.wikipedia.org/wiki/Al_Gore	Al_Gore
's				
final				
total				
,				
which				
is				
exactly				
what				
the				
Democrats				Democratic_Party_(United_States)
want				
.				
He				
is				
not				
ready				
to				
do				
that				
yet				
.				
He				
did				
not				
agree				
to				
the				
Democratic				Democratic_Party_(United_States)
proposal				
to				
begin				
counting				
tomorrow				
morning				
but				
he				
has				
ordered				
that				
the				
ballots				
be				
shipped				
up				
.				
Later				
this				
week				
,				
Miami				Miami_Police_Department
Police				Miami_Police_Department
apparently				
are				
going				
to				
escort				
them				
upto				
Tallahassee				Tallahassee,_Florida
and				
they				
will				
be				
ready				
to				
be				
counted				
if				
the				
judge				
decides				
at				
a				
later				
time				
to				
do				
so				
.				
Now				
time				
is				
a				
big				
consideration				
from				
here				
.				
What				
's				
the				
judge				
's				
timetable				
?				
Not				
as				
fast				
as				
the				
Democrats				Democratic_Party_(United_States)
would				
like				
,				
not				
as				
slowly				
as				
Republicans				Republican_Party_(United_States)
would				
prefer				
.				
He				
is				
going				
to				
order				
a				
major				
hearing				
on				
Saturday				
to				
review				
all				
the				
legal				
and				
evidentiary				
issues				
,				
look				
at				
evidence				
,				
perhaps				
hear				
from				
witnesses				
and				
after				
that				
the				
judge				
will				
decide				
if				
there				
are				
any				
ballots				
to				
count				
.				
It				
might				
take				
another				
five				
days				
or				
so				
to				
do				
it				
.				
Neither				
side				
seemed				
particularly				
pleased				
by				
the				
timetable				
but				
the				
judge				
said				
,				
well				
,				
I				
am				
going				
to				
make				
everybody				
equally				
unhappy				
.				
Thank				
you				
.				
NPR				NPR
's				
Steven				
Inksi				
reporting				
from				
Tallahassee				Tallahassee,_Florida
,				
Florida				Florida
.				
As				
the				
battle				
over				
votes				
goes				
on				
in				
Florida				Florida
,				
Washington	B	Washington_State	http://en.wikipedia.org/wiki/Washington_(state)	Washington_State_University
State	I	Washington_State	http://en.wikipedia.org/wiki/Washington_(state)	Washington_State_University
is				
in				
the				
middle				
of				
recounting				
the				
votes				
cast				
in				
its				
very				
tight				
US				United_States
Senate				United_States_Senate
race				
.				
Jennifer				
Nesan				
reports				
from				
member				
station				
KPLU				KPLU-FM
in				
Seattle	B	Seattle	http://en.wikipedia.org/wiki/Seattle	Seattle
.				
The				
recount				
of				
the				
votes				
cast				
for				
Democrat				Democratic_Party_(United_States)
Maria				
Catwell				
and				
Republican				Republican_Party_(United_States)
Senator				
Slate				
Gordon				
is				
calm				
and				
organized				
.				
The				
State				
's				
Elections				
Director				
Garry				
Macintosh				
says				
the				
process				
is				
about				
as				
exciting				
as				
watching				
paint				
dry				
.				
There				
are				
a				
lot				
of				
things				
about				
the				
election				
's				
process				
I				
think				
that				
are				
fairly				
complex				
.				
This				
is				
n't				
probably				
one				
of				
them				
.				
Catwell				
leads				
Republican				Republican_Party_(United_States)
incumbent				
Slate				
Gordon				
by				
fewer				
then				
2000				
votes				
.				
At				
this				
point				
neither				
of				
the				
candidates				
plan				
to				
contest				
any				
of				
the				
votes				
.				
State				
law				
requires				
a				
recount				
when				
the				
margin				
of				
victory				
is				
less				
than				
one				
half				
of				
1				
percent				
.				
The				
recount				
is				
expected				
to				
be				
completed				
by				
the				
end				
of				
the				
week				
.				
No				
statewide				
recount				
in				
Washington				Washington,_D.C.
has				
ever				
changed				
the				
initial				
outcome				
.				
For				
NPR				NPR
news				
,				
I				
'm				
Jennifer				
Nesan				
in				
Seattle				Seattle
.				
				
DOCEND				
				
Baghdad	B	Baghdad	http://en.wikipedia.org/wiki/Baghdad	Baghdad
11-15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
head				
of				
the				
French				
Interests				
Section				
in				
Baghdad				Baghdad
,				
Ambassador				
Andre				
Janier				
,				
today				
Wednesday				
welcomed				
Iraq	B	Iraq	http://en.wikipedia.org/wiki/Iraq	Iraq
's				
decision				
to				
deal				
in				
euros				
and				
said				
this				
would				
encourage				
relations				
between				
the				
two				
countries				
.				
In				
an				
interview				
in				
today				
's				
edition				
of				
the				
official				
newspaper				
``				
al-Jamhouriya				
,				
''				
Janier				
said				
``				
we				
French				France
believe				
this				
decision				
is				
positive				
for				
the				
international				
economy				
,				
and				
this				
decision				
encourages				
economic				
relations				
,				
especially				
in				
terms				
of				
oil				
,				
between				
Iraq				Iraq
and				
France				France
.				
''				
The				
French				France
diplomat				
carried				
on				
to				
say				
``				
we				
have				
a				
vested				
interest				
in				
this				
matter				
as				
Europeans				Europe
and				
French				France
because				
all				
trade				
payments				
and				
exchanges				
are				
paid				
in				
euros				
and				
there				
is				
no				
danger				
to				
European				Europe
and				
French				France
companies				
because				
of				
fluctuations				
in				
the				
price				
of				
the				
dollar				
on				
the				
stock				
exchange				
.				
This				
compensates				
for				
any				
loss				
in				
buying				
and				
selling				
in				
euros				
rather				
than				
dollars				
.				
''				
Iraq				Iraq
decided				
to				
deal				
in				
euros				
,				
rather				
than				
the				
dollar				
,				
as				
of				
the				
sixth				
of				
this				
month				
for				
its				
oil				
sales				
and				
outside				
trade				
deals				
.				
				
DOCEND				
				
Tallahassee	B	Tallahassee	http://en.wikipedia.org/wiki/Tallahassee,_Florida	Tallahassee,_Florida
(				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	United_States
)				
11-15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
Supreme	B	Supreme_Court	http://en.wikipedia.org/wiki/Supreme_Court_of_Florida	Supreme_Court_(disambiguation)
Court	I	Supreme_Court	http://en.wikipedia.org/wiki/Supreme_Court_of_Florida	Supreme_Court_(disambiguation)
in				
Florida	B	Florida	http://en.wikipedia.org/wiki/Florida	Florida
today				
Wednesday				
refused				
the				
application				
by				
the				
state				
's				
authorities				
to				
stop				
the				
new				
hand				
count				
of				
votes				
in				
some				
counties				
.				
				
DOCEND				
				
Beirut	B	Beirut	http://en.wikipedia.org/wiki/Beirut	Beirut
8-15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
Lebanon	B	Lebanon	http://en.wikipedia.org/wiki/Lebanon	Lebanon
has				
asked				
the				
international				
peacekeeping				
force				
operating				
in				
the				
south				
to				
investigate				
reports				
indicating				
that				
Israel	B	Israel	http://en.wikipedia.org/wiki/Israel	Israel
is				
penetrating				
the				
shared				
border				
between				
the				
two				
countries				
and				
to				
prevent				
this				
from				
happening				
.				
According				
to				
official				
sources				
,				
the				
Lebanese				Lebanon
authorities				
contacted				
the				
peacekeeping				
high				
command				
and				
asked				
it				
to				
put				
an				
end				
to				
infringements				
by				
Israel				Israel
,				
which				
is				
carrying				
out				
operations				
inside				
Lebanese				Lebanon
territory				
,				
in				
particular				
dumping				
sand				
and				
building				
slopes				
.				
The				
source				
added				
that				
if				
this				
is				
confirmed				
,				
then				
such				
acts				
constitute				
a				
provocation				
and				
an				
infringement				
of				
Lebanese				Lebanon
sovereignty				
.				
Witnesses				
said				
two				
Israeli				Israel
bulldozers				
started				
work				
today				
Tuesday				
on				
a				
slope				
in				
the				
Abbad				
sector				
inside				
Lebanese				Lebanon
territory				
on				
the				
border				
between				
Lebanon				Lebanon
and				
Israel				Israel
.				
These				
witnesses				
told				
Agence				Agence_France-Presse
France				Agence_France-Presse
Presse				Agence_France-Presse
that				
an				
Israeli				Israel
army				
patrol				
equipped				
with				
ultra-modern				
binoculars				
penetrated				
a				
few				
meters				
into				
Lebanese				Lebanon
territory				
but				
withdrew				
back				
to				
Israeli				Israel
territory				
as				
soon				
as				
a				
peacekeeping				
patrol				
arrived				
.				
Families				
in				
southern				
Lebanon				Lebanon
visit				
this				
area				
where				
,				
according				
to				
tradition				
,				
the				
burial				
site				
of				
Sheikh				
Abbad				
,				
who				
died				
500				
years				
ago				
,				
is				
located				
.				
For				
their				
part				
,				
