Unemployment	B	Unemployment	http://en.wikipedia.org/wiki/Unemployment	
in				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
at				
record				
low				
since				
2008	B	2008	http://en.wikipedia.org/wiki/2008	
.				
				
According				
to				
the				
latest				
Eurostat	B	Eurostat	http://en.wikipedia.org/wiki/Eurostat	Eurostat
figures				
the				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
has				
hit				
its				
lowest				
rate				
since				
December	B	December	http://en.wikipedia.org/wiki/December	
2008	B	2008	http://en.wikipedia.org/wiki/2008	
for				
the				
second				
month	B	month	http://en.wikipedia.org/wiki/Month	
in				
a				
row				
in				
June	B	June	http://en.wikipedia.org/wiki/June	
.				
				
According				
to				
the				
latest				
Eurostat	B	Eurostat	http://en.wikipedia.org/wiki/Eurostat	Eurostat
findings				
,				
the				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
in				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
was				
7.7				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
,				
the				
same				
rate				
as				
in				
May	B	May	http://en.wikipedia.org/wiki/May	
,				
and				
down				
from				
8.6				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2016	B	2016	http://en.wikipedia.org/wiki/2016	
.				
				
The				
current				
rate				
is				
the				
lowest				
recorded				
in				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
since				
December	B	December	http://en.wikipedia.org/wiki/December	
2008	B	2008	http://en.wikipedia.org/wiki/2008	
.				
				
The				
euro	B	euro_area	http://en.wikipedia.org/wiki/Eurozone	
area	I	euro_area	http://en.wikipedia.org/wiki/Eurozone	
seasonally				
-				
adjusted				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
was				
9.1				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
,				
down				
from				
9.2				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
and				
down				
from				
10.1				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2016	B	2016	http://en.wikipedia.org/wiki/2016	
.				
				
This				
is				
the				
lowest				
rate				
recorded				
in				
the				
euro	B	euro_area	http://en.wikipedia.org/wiki/Eurozone	
