REPEATING				
Protectively				
				
				
Iran	B	Iran	http://en.wikipedia.org/wiki/Iran	Iran
will				
protest				
to				
the				
International				International_Court_of_Justice
Court				International_Court_of_Justice
of				International_Court_of_Justice
Justice				International_Court_of_Justice
at				
the	B	the_Hague	http://en.wikipedia.org/wiki/The_Hague	
Hague	I	the_Hague	http://en.wikipedia.org/wiki/The_Hague	The_Hague
and				
other				
global				
bodies				
about				
the				
U.S.-funded				
Radio	B	Radio_Free_Europe	http://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty	Radio_Free_Europe/Radio_Liberty
Free	I	Radio_Free_Europe	http://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty	Radio_Free_Europe/Radio_Liberty
Europe	I	Radio_Free_Europe	http://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty	Radio_Free_Europe/Radio_Liberty
,				
the				
Iran				
Daily				
reported				
Monday				
.				
				
				
It				
quoted				
Foreign	B	Foreign_Minister	http://en.wikipedia.org/wiki/Foreign_minister	
Minister	I	Foreign_Minister	http://en.wikipedia.org/wiki/Foreign_minister	
Kamal	B	Kamal_Kharrazi	http://en.wikipedia.org/wiki/Kamal_Kharazi	Kamal_Kharazi
Kharrazi	I	Kamal_Kharrazi	http://en.wikipedia.org/wiki/Kamal_Kharazi	Kamal_Kharazi
as				
saying				
the				
radio				
``				
was				
set				
up				
to				
interfere				
in				
Iran				Iran
's				
internal				
affairs				
.				
''				
				
				
It				
did				
not				
say				
when				
the				
complaints				
will				
be				
filed				
.				
The				
English-language				English_language
daily				
also				
did				
not				
say				
which				
organizations				
Iran				Iran
will				
approach				
besides				
the				
ICJ	B	ICJ	http://en.wikipedia.org/wiki/International_Court_of_Justice	International_Court_of_Justice
in				
the	B	the_Netherlands	http://en.wikipedia.org/wiki/Netherlands	
Netherlands	I	the_Netherlands	http://en.wikipedia.org/wiki/Netherlands	Netherlands
.				
				
				
On				
Tuesday				
,				
Iran				Iran
recalled				
its				
ambassador				
from				
Prague	B	Prague	http://en.wikipedia.org/wiki/Prague	Prague
to				
protest				
the				
Czech	B	Czech	http://en.wikipedia.org/wiki/Czech_Republic	Czech_Republic
government				
's				
assistance				
to				
the				
radio				
and				
said				
it				
would				
reduce				
the				
level				
of				
its				
economic				
and				
political				
cooperation				
with				
Prague				Prague
.				
				
				
The				
American-sponsored				
station				
also				
began				
broadcasts				
directed				
to				
Iraq	B	Iraq	http://en.wikipedia.org/wiki/Iraq	Iraq
on				
Friday				
.				
In				
a				
trial				
period				
of				
several				
weeks				
,				
the				
station				
will				
broadcast				
one				
30-minute				
program				
a				
day				
to				
Iran				Iran
and				
Iraq				Iraq
.				
				
				
The				
Farsi	B	Farsi	http://en.wikipedia.org/wiki/Persian_language	Persian_language
-				
language				
service				
to				
Iran				Iran
was				
approved				
by				
the				
Czech				Czech_Republic
government				
in				
August				
.				
				
				
Radio				Radio_Free_Europe/Radio_Liberty
Free				Radio_Free_Europe/Radio_Liberty
Europe				Radio_Free_Europe/Radio_Liberty
began				
transmitting				
from				
Munich	B	Munich_,_Germany	http://en.wikipedia.org/wiki/Munich	Munich
,	I	Munich_,_Germany	http://en.wikipedia.org/wiki/Munich	
Germany	I	Munich_,_Germany	http://en.wikipedia.org/wiki/Munich	Germany
,				
in				
1951				
,				
spreading				
uncensored				
news				
to				
Soviet	B	Soviet	http://en.wikipedia.org/wiki/Soviet_Union	Soviet_Union
-				
controlled				
countries				
behind				
the				
Iron	B	Iron_Curtain	http://en.wikipedia.org/wiki/Iron_Curtain	Iron_Curtain
Curtain	I	Iron_Curtain	http://en.wikipedia.org/wiki/Iron_Curtain	Iron_Curtain
during				
the				
Cold	B	Cold_War	http://en.wikipedia.org/wiki/Cold_War	Cold_War
War	I	Cold_War	http://en.wikipedia.org/wiki/Cold_War	Cold_War
between				
the				
West				Western_world
and				
the				
Communist	B	Communist	http://en.wikipedia.org/wiki/Communism	Eastern_Bloc
East				Eastern_Bloc
.				
				
				
It				
moved				
its				
headquarters				
to				
Prague				Prague
in				
1995				
following				
the				
collapse				
of				
communism				
six				
years				
earlier				
.				
ti/vj				
				
				
DOCEND				
				
AP				
Nicaragua				
Reporter				
Garcia				
Dies				
				
				Managua
MANAGUA				Managua
,				
Nicaragua	B	Nicaragua	http://en.wikipedia.org/wiki/Nicaragua	Nicaragua
(				
AP				Associated_Press
)				
--				
Rodolfo				
Garcia				
,				
an				
Associated				Associated_Press
Press				Associated_Press
reporter				
who				
helped				
chronicle				
Nicaragua				Nicaragua
's				
emergence				
out				
of				
civil	B	civil_war	http://en.wikipedia.org/wiki/Civil_war	
war	I	civil_war	http://en.wikipedia.org/wiki/Civil_war	
,				
a				
papal				
visit				
,				
volcanoes				
and				
floods				
,				
died				
in				
Managua	B	Managua	http://en.wikipedia.org/wiki/Managua	Managua
after				
a				
long				
illness				
.				
He				
was				
58				
.				
				
				
Garcia				
joined				
The				Associated_Press
Associated				Associated_Press
Press				Associated_Press
office				
in				
Managua				Managua
in				
1986				
after				
working				
for				
Radio				
Nicaragua				
,				
where				
he				
was				
director				
of				
short-wave	B	short-wave	http://en.wikipedia.org/wiki/Shortwave_radio	
broadcasts				
,				
and				
after				
helping				
found				
a				
local				
news				
agency				
,				
Agencia				
de				
Noticias				
Nueva				
Nicaragua				
.				
				
				
For				
the				
AP				Associated_Press
,				
he				
covered				
the				
war				
between				
the				
Sandinista	B	Sandinista	http://en.wikipedia.org/wiki/Sandinista_National_Liberation_Front	Sandinista_National_Liberation_Front
government				
and				
Contra	B	Contra	http://en.wikipedia.org/wiki/Contras	Contras
rebels				
,				
the				
Sandinistas				Sandinista_National_Liberation_Front
'				
loss				
of				
power				
at				
the				
ballot				
box				
and				
the				
country				
's				
sometimes				
turbulent				
effort				
to				
put				
years				
of				
war				
behind				
it				
.				
				
				
He				
also				
reported				
on				
volcanic	B	volcanic_eruptions	http://en.wikipedia.org/wiki/Types_of_volcanic_eruptions	
eruptions	I	volcanic_eruptions	http://en.wikipedia.org/wiki/Types_of_volcanic_eruptions	
,				
the				
1996				
visit				
of				
Pope	B	Pope_John_Paul_II	http://en.wikipedia.org/wiki/Pope_John_Paul_II	Pope_John_Paul_II
John	I	Pope_John_Paul_II	http://en.wikipedia.org/wiki/Pope_John_Paul_II	Pope_John_Paul_II
Paul	I	Pope_John_Paul_II	http://en.wikipedia.org/wiki/Pope_John_Paul_II	Pope_John_Paul_II
II	I	Pope_John_Paul_II	http://en.wikipedia.org/wiki/Pope_John_Paul_II	Pope_John_Paul_II
and				
the				
ravages				
of				
Hurricane	B	Hurricane_Mitch	http://en.wikipedia.org/wiki/Hurricane_Mitch	
Mitch	I	Hurricane_Mitch	http://en.wikipedia.org/wiki/Hurricane_Mitch	Hurricane_Mitch
in				
1998				
.				
				
				
''				
He				
worked				
under				
very				
difficult				
conditions				
created				
by				
a				
civil				
war				
but				
always				
managed				
to				
maintain				
total				
objectivity				
and				
a				
fair				
vision				
under				
pressure				
in				
reporting				
for				
The				Associated_Press
Associated				Associated_Press
Press				Associated_Press
,				
''				
said				
Eloy				
Aguilar				
,				
the				
AP				Associated_Press
bureau				
chief				
for				
Mexico	B	Mexico	http://en.wikipedia.org/wiki/Mexico	Mexico
and				
Central	B	Central_America	http://en.wikipedia.org/wiki/Central_America	Central_America
America	I	Central_America	http://en.wikipedia.org/wiki/Central_America	Central_America
.				
				
				
Garcia				
was				
born				
in				
Nandasmo				Nandasmo
,				
a				
town				
about				
15				
miles				
south				
of				
Managua				Managua
.				
He				
attended				
the				
National	B	National_Autonomous_University_of_Nicaragua	http://en.wikipedia.org/wiki/National_Autonomous_University_of_Nicaragua	National_Autonomous_University_of_Nicaragua
Autonomous	I	National_Autonomous_University_of_Nicaragua	http://en.wikipedia.org/wiki/National_Autonomous_University_of_Nicaragua	National_Autonomous_University_of_Nicaragua
University	I	National_Autonomous_University_of_Nicaragua	http://en.wikipedia.org/wiki/National_Autonomous_University_of_Nicaragua	National_Autonomous_University_of_Nicaragua
of	I	National_Autonomous_University_of_Nicaragua	http://en.wikipedia.org/wiki/National_Autonomous_University_of_Nicaragua	National_Autonomous_University_of_Nicaragua
Nicaragua	I	National_Autonomous_University_of_Nicaragua	http://en.wikipedia.org/wiki/National_Autonomous_University_of_Nicaragua	National_Autonomous_University_of_Nicaragua
.				
				
				
Garcia				
suffered				
a				
series				
of				
illnesses				
last				
year				
,				
including				
diabetes	B	diabetes	http://en.wikipedia.org/wiki/Diabetes_mellitus	
and				
cancer	B	cancer	http://en.wikipedia.org/wiki/Cancer	
.				
He				
died				
Saturday				
night				
.				
				
				
He				
was				
buried				
in				
Nandasmo				Nandasmo
on				
Sunday				
.				
He				
is				
survived				
by				
his				
wife				
,				
Ana				
Leonor				
Hernandez				
,				
and				
four				
daughters				
.				
				
				
DOCEND				
				
Nikhil				
Chakravarty				
,				
a				
top				
Indian				India
political				
columnist				
,				
dead				
at				
74				
				
				
Nikhil				
Chakravarty				
,				
one				
of				
India	B	India	http://en.wikipedia.org/wiki/India	India
's				
best				
known				
journalist	B	journalist	http://en.wikipedia.org/wiki/Journalist	
s				
,				
has				
died				
.				
He				
was				
74				
.				
				
				Chakraborty
Chakravarty				Chakraborty
was				
suffering				
from				
brain	B	brain_cancer	http://en.wikipedia.org/wiki/Brain_tumor	
cancer	I	brain_cancer	http://en.wikipedia.org/wiki/Brain_tumor	
and				
died				
in				
hospital				
on				
Saturday				
,				
his				
family				
said				
.				
				
				
Politics	B	Politics	http://en.wikipedia.org/wiki/Politics	
was				
his				
forte				
and				
his				
columns				
appeared				
in				
leading				
Indian				India
newspapers				
and				
magazines				
.				
				
				Chakraborty
Chakravarty				Chakraborty
also				
started				
a				
weekly				
news				
magazine				
,				
``				
Mainstream				
,				
''				
in				
1962				
and				
edited				
it				
for				
more				
than				
three				
decades				
.				
				
				
Last				
year				
,				
the				
government				
appointed				
him				
chief				
of				
Prasar	B	Prasar_Bharati	http://en.wikipedia.org/wiki/Prasar_Bharati	Prasar_Bharati
Bharati	I	Prasar_Bharati	http://en.wikipedia.org/wiki/Prasar_Bharati	Prasar_Bharati
,				
an				
autonomous				
corporation	B	corporation	http://en.wikipedia.org/wiki/Corporation	
set				
up				
to				
end				
government				
control				
of				
radio				
and				
television				
.				
				
				Chakraborty
Chakravarty				Chakraborty
declined				
a				
top				
government				
award				
in				
1990				
,				
saying				
no				
journalist				
should				
be				
identified				
with				
the				
governing				
establishment				
.				
				
				
He				
graduated				
from				
Calcutta	B	Calcutta_University	http://en.wikipedia.org/wiki/University_of_Calcutta	University_of_Calcutta
University	I	Calcutta_University	http://en.wikipedia.org/wiki/University_of_Calcutta	University_of_Calcutta
and				
studied				
at				
Oxford	B	Oxford_University_'s_Merton_College	http://en.wikipedia.org/wiki/Merton_College,_Oxford	University_of_Oxford
University	I	Oxford_University_'s_Merton_College	http://en.wikipedia.org/wiki/Merton_College,_Oxford	University_of_Oxford
's	I	Oxford_University_'s_Merton_College	http://en.wikipedia.org/wiki/Merton_College,_Oxford	
Merton	I	Oxford_University_'s_Merton_College	http://en.wikipedia.org/wiki/Merton_College,_Oxford	Merton_College,_Oxford
College	I	Oxford_University_'s_Merton_College	http://en.wikipedia.org/wiki/Merton_College,_Oxford	Merton_College,_Oxford
in				
England				England
.				
				
				
Chakravarty				Chakraborty
taught				
history				
at				
Calcutta				University_of_Calcutta
University				University_of_Calcutta
in				
the				
1930s				
before				
taking				
to				
journalism	B	journalism	http://en.wikipedia.org/wiki/Journalism	
as				
correspondent				
of				
a				
weekly				
brought				
out				
by				
the				
Communist	B	Communist_Party_of_India	http://en.wikipedia.org/wiki/Communist_Party_of_India	Communist_Party_of_India
Party	I	Communist_Party_of_India	http://en.wikipedia.org/wiki/Communist_Party_of_India	Communist_Party_of_India
of	I	Communist_Party_of_India	http://en.wikipedia.org/wiki/Communist_Party_of_India	Communist_Party_of_India
India	I	Communist_Party_of_India	http://en.wikipedia.org/wiki/Communist_Party_of_India	Communist_Party_of_India
.				
				
				
He				
later				
joined				
the				
CPI				Communist_Party_of_India
and				
remained				
a				
member				
until				
1978				
.				
				
				
He				
closed				
the				
Mainstream				Mainstream
weekly				
for				
a				
while				
when				
Prime				
Minister				
Indira	B	Indira_Gandhi	http://en.wikipedia.org/wiki/Indira_Gandhi	Indira_Gandhi
Gandhi	I	Indira_Gandhi	http://en.wikipedia.org/wiki/Indira_Gandhi	Indira_Gandhi
imposed				
emergency				
rule				
in				
India				India
1975-77				
,				
jailing				
political				
opponents				
and				
imposing				
censorship				
on				
newspapers				
and				
magazines				
.				
				
				Chakraborty
Chakravarty				Chakraborty
was				
born				
November				
3				
,				
1913				
,				
in				
India				India
's				
northeastern				
state				
of				
Assam				Assam
.				
				
				
DOCEND				
				
LONDON				London
:				
Nov.				
26				
.				
				
				
Word				
of				
the				
agreement				
leaked				
out				
when				
former				
captain				
Courtney	B	Courtney_Walsh	http://en.wikipedia.org/wiki/Courtney_Walsh	Courtney_Walsh
Walsh	I	Courtney_Walsh	http://en.wikipedia.org/wiki/Courtney_Walsh	Courtney_Walsh
,				
head				
of				
the				
West	B	West_Indies	http://en.wikipedia.org/wiki/West_Indies_cricket_team	Caribbean
Indies	I	West_Indies	http://en.wikipedia.org/wiki/West_Indies_cricket_team	Caribbean
players				
association				
,				
told				
the				
Caribbean	B	Caribbean_News_Agency	http://en.wikipedia.org/wiki/Caribbean_News_Agency	Caribbean_News_Agency
News	I	Caribbean_News_Agency	http://en.wikipedia.org/wiki/Caribbean_News_Agency	Caribbean_News_Agency
Agency	I	Caribbean_News_Agency	http://en.wikipedia.org/wiki/Caribbean_News_Agency	Caribbean_News_Agency
that				
Lara	B	Lara	http://en.wikipedia.org/wiki/Brian_Lara	Brian_Lara
and				
Hooper	B	Hooper	http://en.wikipedia.org/wiki/Carl_Hooper	Carl_Hooper
had				
been				
reinstated				
and				
the				
tour				
was				
going				
ahead				
.				
				
				
The				
crisis				
came				
to				
a				
head				
last				
Wednesday				
when				
the				
West	B	West_Indies_Cricket_Board	http://en.wikipedia.org/wiki/West_Indies_Cricket_Board	West_Indies_Cricket_Board
Indies	I	West_Indies_Cricket_Board	http://en.wikipedia.org/wiki/West_Indies_Cricket_Board	West_Indies_Cricket_Board
Cricket	I	West_Indies_Cricket_Board	http://en.wikipedia.org/wiki/West_Indies_Cricket_Board	West_Indies_Cricket_Board
Board	I	West_Indies_Cricket_Board	http://en.wikipedia.org/wiki/West_Indies_Cricket_Board	West_Indies_Cricket_Board
fired				
superstar				
batsman	B	batsman	http://en.wikipedia.org/wiki/Batting_(cricket)	
Lara				Brian_Lara
as				
captain				
and				
Hooper				Carl_Hooper
as				
vice-captain				
.				
The				
two				
had				
refused				
to				
travel				
to				
South				South_Africa
Africa				South_Africa
,				
demanding				
better				
pay				
and				
conditions				
for				
the				
tour				
.				
				
				
Team				
members				
had				
insisted				
that				
Lara				Brian_Lara
and				
Hooper				Carl_Hooper
be				
reinstated				
as				
part				
of				
any				
settlement				
.				
				
				Jimmy_Adams
Jimmy				Jimmy_Adams
Adams				Jimmy_Adams
,				
treasurer	B	treasurer	http://en.wikipedia.org/wiki/Treasurer	
of				
the				
players				
'				
assocation				
,				
negotiated	B	negotiated	http://en.wikipedia.org/wiki/Negotiation	
on				
behalf				
of				
the				
players				
Monday				
with				
Rousseau				Jean-Jacques_Rousseau
.				
				
				Ali_Bacher
Ali	B	Ali_Bacher	http://en.wikipedia.org/wiki/Ali_Bacher	Ali_Bacher
Bacher	I	Ali_Bacher	http://en.wikipedia.org/wiki/Ali_Bacher	Ali_Bacher
,				
head				
of				
South	B	South_African_cricket	http://en.wikipedia.org/wiki/Cricket_South_Africa	South_Africa
African	I	South_African_cricket	http://en.wikipedia.org/wiki/Cricket_South_Africa	South_Africa
cricket	I	South_African_cricket	http://en.wikipedia.org/wiki/Cricket_South_Africa	
,				
also				
was				
directly				
involved				
in				
Monday				
's				
talks				
after				
sitting				
on				
the				
sidelines				
Sunday				
.				
				
				
West				West_Indies_cricket_team
Indies				West_Indies_cricket_team
tour				
manager				
Clive	B	Clive_Lloyd	http://en.wikipedia.org/wiki/Clive_Lloyd	Clive_Lloyd
Lloyd	I	Clive_Lloyd	http://en.wikipedia.org/wiki/Clive_Lloyd	Clive_Lloyd
and				
WICB				West_Indies_Cricket_Board
member				
Joel	B	Joel_Garner	http://en.wikipedia.org/wiki/Joel_Garner	Joel_Garner
Garner	I	Joel_Garner	http://en.wikipedia.org/wiki/Joel_Garner	Joel_Garner
were				
also				
involved				
in				
the				
talks				
which				
began				
Friday				
.				
				
				
Progress				
was				
reported				
over				
the				
weekend				
with				
the				
announcement				
of				
a				
sponsorship	B	sponsorship	http://en.wikipedia.org/wiki/Sponsor_(commercial)	
deal				
offered				
by				
former				
South				South_Africa
African				South_Africa
wicketkeeper	B	wicketkeeper	http://en.wikipedia.org/wiki/Wicket-keeper	
David	B	David_Richardson	http://en.wikipedia.org/wiki/Dave_Richardson	
Richardson	I	David_Richardson	http://en.wikipedia.org/wiki/Dave_Richardson	
,				
who				
runs				
a				
sports				
marketing	B	marketing	http://en.wikipedia.org/wiki/Marketing	
firm				
in				
Johannesburg	B	Johannesburg	http://en.wikipedia.org/wiki/Johannesburg	Johannesburg
.				
				
				
Earnings				
from				
the				
sponsorship				
proposal				
would				
apparently				
help				
meet				
the				
players				
'				
demands				
for				
better				
pay				
,				
which				
is				
reported				
to				
range				
from				
dlrs				
15,000				
to				
60,000				
for				
the				
South				South_Africa
African				South_Africa
tour				
.				
				
				
(				
jp/sw				
)				
				
				
DOCEND				
				
Spirited				
bidders				
snap				
up				
art				
seized				
from				
failed				
finance				
firms				
				
				
Paintings				
and				
other				
art				
objects				
once				
displayed				
in				
elegant				
offices				
were				
snapped				
up				
this				
weekend				
in				
Thailand	B	Thailand	http://en.wikipedia.org/wiki/Thailand	Thailand
at				
an				
auction	B	auction	http://en.wikipedia.org/wiki/Auction	
of				
assets				
of				
collapsed				
financial	B	financial_firms	http://en.wikipedia.org/wiki/Financial_institution	
firms	I	financial_firms	http://en.wikipedia.org/wiki/Financial_institution	
,				
Thai				Thailand
media				
reported				
Sunday				
.				
				
				
The				
three-day				
auction				
of				
more				
than				
1,000				
items				
,				
which				
ended				
Sunday				
,				
was				
expected				
to				
bring				
in				
more				
than				
an				
initial				
estimate				
of				
30				
million				
baht	B	baht	http://en.wikipedia.org/wiki/Thai_baht	
(				
dlrs				
697,000				
)				
.				
				
				
The				
paintings				
,				
sculptures				
and				
other				
art-related				
objects				
were				
seized				
by				
Thailand				Thailand
's				
Financial				
Restructuring				
Authority				
,				
a				
government				
agency				
set				
up				
to				
liquidate	B	liquidate	http://en.wikipedia.org/wiki/Liquidation	
the				
assets				
of				
56				
finance				
companies				
which				
were				
shut				
down				
last				
year				
.				
				
				
The				
closings				
were				
required				
by				
the				
International	B	International_Monetary_Fund	http://en.wikipedia.org/wiki/International_Monetary_Fund	International_Monetary_Fund
Monetary	I	International_Monetary_Fund	http://en.wikipedia.org/wiki/International_Monetary_Fund	International_Monetary_Fund
Fund	I	International_Monetary_Fund	http://en.wikipedia.org/wiki/International_Monetary_Fund	International_Monetary_Fund
as				
part				
of				
its				
dlrs				
17.2				
billion				
bailout				
program				
for				
the				
depressed				
Thai	B	Thai_economy	http://en.wikipedia.org/wiki/Economy_of_Thailand	Thailand
economy	I	Thai_economy	http://en.wikipedia.org/wiki/Economy_of_Thailand	
.				
The				
proceeds				
of				
the				
auction				
will				
go				
to				
pay				
the				
debts				
of				
the				
failed				
companies				
.				
				
				
``				
The				
going				
prices				
have				
been				
very				
high				
,				
much				
higher				
than				
I				
expected				
,				
''				
an				
art				
gallery				
owner				
,				
Hongjorn				
Samae-ngamjaroen				
,				
was				
quoted				
as				
saying				
by				
the				
Bangkok	B	Bangkok_Post	http://en.wikipedia.org/wiki/Bangkok_Post	Bangkok_Post
Post	I	Bangkok_Post	http://en.wikipedia.org/wiki/Bangkok_Post	Bangkok_Post
.				
				
				
An				
untitled				
painting				
of				
a				
lotus				
pond				
by				
the				
late				
Thawee				
Nandakwang				
was				
sold				
for				
2.8				
million				
baht				
(				
dlrs				
65,000				
)				
,				
way				
above				
its				
starting				
bid				
of				
400,000				
baht				
(				
dlrs				
9,300				
)				
.				
				
				
Prime				
Minister				
Chuan	B	Chuan_Leekpai	http://en.wikipedia.org/wiki/Chuan_Leekpai	Chuan_Leekpai
Leekpai	I	Chuan_Leekpai	http://en.wikipedia.org/wiki/Chuan_Leekpai	Chuan_Leekpai
donated				
two				
of				
his				
sketches				
to				
the				
auction				
,				
which				
was				
handled				
by				
Christies	B	Christies	http://en.wikipedia.org/wiki/Christie's	Christie's
,				
the				
British				United_Kingdom
auction				
house				
.				
It				
was				
held				
at				
Bangkok				Bangkok
's				
Queen	B	Queen_Sirikit_Natoinal_Convention_Center	http://en.wikipedia.org/wiki/Queen_Sirikit_National_Convention_Center	
Sirikit	I	Queen_Sirikit_Natoinal_Convention_Center	http://en.wikipedia.org/wiki/Queen_Sirikit_National_Convention_Center	
Natoinal	I	Queen_Sirikit_Natoinal_Convention_Center	http://en.wikipedia.org/wiki/Queen_Sirikit_National_Convention_Center	
Convention	I	Queen_Sirikit_Natoinal_Convention_Center	http://en.wikipedia.org/wiki/Queen_Sirikit_National_Convention_Center	
Center	I	Queen_Sirikit_Natoinal_Convention_Center	http://en.wikipedia.org/wiki/Queen_Sirikit_National_Convention_Center	
.				
				
				
DOCEND				
				
Prosecutor				
:				
Botha				P._W._Botha
may				
still				
stand				
trial				
				
				
A				
prosecutor	B	prosecutor	http://en.wikipedia.org/wiki/Prosecutor	
on				
Friday				
left				
open				
the				
possibility				
that				
former				
apartheid				
President				
P.W.	B	P.W._Botha	http://en.wikipedia.org/wiki/P._W._Botha	P._W._Botha
Botha	I	P.W._Botha	http://en.wikipedia.org/wiki/P._W._Botha	P._W._Botha
would				
be				
put				
on				
trial				
for				
abuses				
committed				
during				
white	B	white_rule	http://en.wikipedia.org/wiki/Dominant_minority	
rule	I	white_rule	http://en.wikipedia.org/wiki/Dominant_minority	
.				
				
				
Prosecutor				
Jan				
D'Oliveira				
said				
he				
currently				
has				
insufficient				
evidence				
to				
prosecute				
Botha				P._W._Botha
,				
but				
that				
information				
collected				
by				
the				
Truth	B	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	Truth_and_Reconciliation_Commission_(South_Africa)
and	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	Truth_and_Reconciliation_Commission_(South_Africa)
Reconciliation	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	Truth_and_Reconciliation_Commission_(South_Africa)
Commission	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	Truth_and_Reconciliation_Commission_(South_Africa)
(	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	
South	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	South_Africa
Africa	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	South_Africa
)	I	Truth_and_Reconciliation_Commission_(_South_Africa_)	http://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)	
,				
which				
investigated				
apartheid-era				
abuses				
,				
still				
must				
be				
evaluated				
to				
ascertain				
whether				
charges				
would				
ultimately				
be				
brought				
.				
				
				
Last				
month				
,				
the				
Truth				
Comission				
issued				
a				
landmark				
report				
on				
