Stocks				
start				
new				
trading				
year				
with				
rally				
Market				
indexes				
surge				
after				
Home	B	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
Depot	I	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
chief				
executive				
quits				
.				
				
NEW	B	NEW_YORK	http://en.wikipedia.org/wiki/New_York_City	http://dbpedia.org/resource/New_York
YORK	I	NEW_YORK	http://en.wikipedia.org/wiki/New_York_City	http://dbpedia.org/resource/New_York
-				
Stocks				
moved				
soundly				
higher				
in				
the				
first				
session				
of				
2007				
as				
investors				
cheered				
mostly				
solid				
readings				
on				
the				
economy				
and				
found				
reason				
for				
increased				
prospects				
for				
big				
-				
name				
retailers				
Home	B	Home_Depot_Inc	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
Depot	I	Home_Depot_Inc	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
Inc	I	Home_Depot_Inc	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
.				
and				
Wal	B	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	http://aksw.org/notInWiki/Wal-MartStoresInc
-	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	http://aksw.org/notInWiki/Wal-MartStoresInc
Mart	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	http://aksw.org/notInWiki/Wal-MartStoresInc
Stores	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	http://aksw.org/notInWiki/Wal-MartStoresInc
Inc	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	http://aksw.org/notInWiki/Wal-MartStoresInc
.	I	Wal-Mart_Stores_Inc.	http://en.wikipedia.org/wiki/Wal-Mart	
				
A				
decline				
in				
oil				
prices				
added				
to				
the				
strong				
sentiment				
that				
at				
times				
drove				
the				
Dow	B	Dow_Jones	http://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average	http://dbpedia.org/resource/Dow_Jones_&_Company
Jones	I	Dow_Jones	http://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average	http://dbpedia.org/resource/Dow_Jones_&_Company
industrials				
to				
a				
new				
trading				
high				
.				
				
Stocks				
,				
which				
had				
surged				
from				
the				
start				
on				
word				
that				
Home	B	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
Depot	I	Home_Depot	http://en.wikipedia.org/wiki/Home_Depot	http://dbpedia.org/resource/The_Home_Depot
’				
s				
chairman				
and				
chief				
executive				
had				
resigned				
after				
years				
of				
lackluster				
performance				
in				
the				
company				
’				
s				
stock				
,				
added				
to				
their				
gains				
after				
Wall	B	Wall_Street	http://en.wikipedia.org/wiki/Wall_Street	http://dbpedia.org/resource/Wall_Street
Street	I	Wall_Street	http://en.wikipedia.org/wiki/Wall_Street	http://dbpedia.org/resource/Wall_Street
received				
a				
stronger				
-				
than				
-				
expected				
report				
on				
December				
manufacturing				
from				
the				
Institute	B	Institute_for_Supply_Management	http://en.wikipedia.org/wiki/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management
for	I	Institute_for_Supply_Management	http://en.wikipedia.org/wiki/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management
Supply	I	Institute_for_Supply_Management	http://en.wikipedia.org/wiki/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management
Management	I	Institute_for_Supply_Management	http://en.wikipedia.org/wiki/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management
and				
saw				
a				
softer				
-				
than				
-				
expected				
decline				
in				
construction				
spending				
.				
				
“				
The				
ISM	B	ISM	http://en.wikipedia.org/wiki/Institute_for_Supply_Management	http://dbpedia.org/resource/Ian_Standish_Monteith_Hamilton
number				
was				
better				
than				
expected				
and				
construction				
fell				
less				
than				
expected				
,				
”				
said				
Al	B	Al_Goldman	http://en.wikipedia.org/wiki/Al_Goldman	http://aksw.org/notInWiki/AlGoldman
Goldman	I	Al_Goldman	http://en.wikipedia.org/wiki/Al_Goldman	http://aksw.org/notInWiki/AlGoldman
,				
chief				
market				
strategist				
at				
A	B	A.G._Edwards	http://en.wikipedia.org/wiki/A.G._Edwards	
.	I	A.G._Edwards	http://en.wikipedia.org/wiki/A.G._Edwards	
G	I	A.G._Edwards	http://en.wikipedia.org/wiki/A.G._Edwards	
.	I	A.G._Edwards	http://en.wikipedia.org/wiki/A.G._Edwards	
Edwards	I	A.G._Edwards	http://en.wikipedia.org/wiki/A.G._Edwards	http://dbpedia.org/resource/Edwards_Pierrepont
.				
				
“				
I				
think				
those				
of				
us				
looking				
for				
a				
soft				
landing				
had				
more				
support				
on				
that				
stance				
today				
.				
”				
				
In				
early				
afternoon				
trading				
,				
the				
Dow	B	Dow	http://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average	http://dbpedia.org/resource/Dow_Jones_&_Company
surged				
96.53				
,				
or				
0.77				
percent				
,				
to				
12,559.68				
after				
jumping				
earlier				
to				
a				
new				
trading				
high				
of				
12,580.35				
.				
				
Broader				
stock				
indicators				
also				
rose				
,				
with				
the				
Nasdaq	B	Nasdaq	http://en.wikipedia.org/wiki/NASDAQ	http://dbpedia.org/resource/NASDAQ
composite				
index				
especially				
showing				
sharp				
gains				
.				
				
The				
Standard	B	Standard_&_Poor’s_500	http://en.wikipedia.org/wiki/S&P_500	http://dbpedia.org/resource/Standard_&_Poor's
&	I	Standard_&_Poor’s_500	http://en.wikipedia.org/wiki/S&P_500	http://dbpedia.org/resource/Standard_&_Poor's
Poor	I	Standard_&_Poor’s_500	http://en.wikipedia.org/wiki/S&P_500	http://dbpedia.org/resource/Standard_&_Poor's
’	I	Standard_&_Poor’s_500	http://en.wikipedia.org/wiki/S&P_500	
s	I	Standard_&_Poor’s_500	http://en.wikipedia.org/wiki/S&P_500	
500	I	Standard_&_Poor’s_500	http://en.wikipedia.org/wiki/S&P_500	
index				
was				
up				
7.94				
,				
or				
0.56				
percent				
,				
at				
1,426.24				
,				
and				
the				
tech				
-				
laden				
Nasdaq	B	Nasdaq	http://en.wikipedia.org/wiki/NASDAQ	http://dbpedia.org/resource/NASDAQ
rose				
32.92				
,				
or				
1.36				
percent				
,				
to				
2,448.21				
.				
				
Bonds				
rose				
but				
retreated				
from				
an				
earlier				
big				
advance				
;				
the				
yield				
on				
the				
benchmark				
10				
-				
year				
Treasury				http://dbpedia.org/resource/Treasury
note				
fell				
to				
4.68				
percent				
from				
4.71				
percent				
late				
Friday				
.				
				
Bond				
investors				
were				
trying				
to				
balance				
the				
ISM	B	ISM	http://en.wikipedia.org/wiki/Institute_for_Supply_Management	http://dbpedia.org/resource/Ian_Standish_Monteith_Hamilton
news				
with				
a				
weak				
employment				
report				
from				
a				
division				
of				
payroll				
company				
Automatic	B	Automatic_Data_Processing_Inc	http://en.wikipedia.org/wiki/Automatic_Data_Processing	http://dbpedia.org/resource/Automatic_Data_Processing
Data	I	Automatic_Data_Processing_Inc	http://en.wikipedia.org/wiki/Automatic_Data_Processing	http://dbpedia.org/resource/Automatic_Data_Processing
Processing	I	Automatic_Data_Processing_Inc	http://en.wikipedia.org/wiki/Automatic_Data_Processing	http://dbpedia.org/resource/Automatic_Data_Processing
Inc	I	Automatic_Data_Processing_Inc	http://en.wikipedia.org/wiki/Automatic_Data_Processing	http://dbpedia.org/resource/Automatic_Data_Processing
.				
				
ADP				http://dbpedia.org/resource/Arab_Democratic_Party_(Lebanon)
said				
private				
sector				
employment				
fell				
by				
40,000				
in				
December				
following				
three				
months				
of				
gains				
that				
averaged				
121,000				
per				
month				
;				
investors				
theorized				
that				
the				
report				
might				
improve				
the				
chances				
